,Tissue,Delivery,Date,Animal,Test,Function,Parent,Purification,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele
Naive_HEK293T_ZC66_R_ALT_Barcode_26,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,26,26_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC66_R_ALT_Barcode_27,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,27,27_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC66_R_ALT_Barcode_28,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,28,28_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC66_R_ALT_Barcode_29,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,29,29_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC66_R_ALT_Barcode_30,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,30,30_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC66_R_ALT_Barcode_31,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,31,31_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC66_R_ALT_Barcode_32,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,32,32_ALT,ALT,Naive_HEK293T_ZC66_R_ALT,HEK293T_ALT,HEK293T_ALT
Naive_HEK293T_ZC66_R_REF_Barcode_1,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,1,1_REF,REF,Naive_HEK293T_ZC66_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC66_R_REF_Barcode_2,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,2,2_REF,REF,Naive_HEK293T_ZC66_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC66_R_REF_Barcode_3,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,3,3_REF,REF,Naive_HEK293T_ZC66_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC66_R_REF_Barcode_4,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,4,4_REF,REF,Naive_HEK293T_ZC66_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC66_R_REF_Barcode_5,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,5,5_REF,REF,Naive_HEK293T_ZC66_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC66_R_REF_Barcode_6,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,6,6_REF,REF,Naive_HEK293T_ZC66_R_REF,HEK293T_REF,HEK293T_REF
Naive_HEK293T_ZC66_R_REF_Barcode_7,HEK293T,Fugene6,,HEK293T,Naive_HEK293T_ZC66_R,Control_cell,HEK293T,Column,7,7_REF,REF,Naive_HEK293T_ZC66_R_REF,HEK293T_REF,HEK293T_REF
