,Tissue,Delivery,Date,Animal,Sex,Test,Function,Parent,SI,LI,Barcode_number,Barcode_Allele,Allele_String,Test_Allele,Animal_Allele,Tissue_Allele,Motif_Allele
ZC119-MPRA3-AP1120-26-LI_motif_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,1,1otif,tif,ZC119-MPRA3-AP1120-26-LI_tif,AP1120_tif,Large_Intestine_tif,motif
ZC119-MPRA3-AP1120-26-LI_motif_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,2,2otif,tif,ZC119-MPRA3-AP1120-26-LI_tif,AP1120_tif,Large_Intestine_tif,motif
ZC119-MPRA3-AP1120-26-LI_motif_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,3,3otif,tif,ZC119-MPRA3-AP1120-26-LI_tif,AP1120_tif,Large_Intestine_tif,motif
ZC119-MPRA3-AP1120-26-LI_motif_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,4,4otif,tif,ZC119-MPRA3-AP1120-26-LI_tif,AP1120_tif,Large_Intestine_tif,motif
ZC119-MPRA3-AP1120-26-LI_motif_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,5,5otif,tif,ZC119-MPRA3-AP1120-26-LI_tif,AP1120_tif,Large_Intestine_tif,motif
ZC119-MPRA3-AP1120-26-LI_ref_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,1,1_ref,ref,ZC119-MPRA3-AP1120-26-LI_ref,AP1120_ref,Large_Intestine_ref,Allele
ZC119-MPRA3-AP1120-26-LI_ref_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,2,2_ref,ref,ZC119-MPRA3-AP1120-26-LI_ref,AP1120_ref,Large_Intestine_ref,Allele
ZC119-MPRA3-AP1120-26-LI_ref_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,3,3_ref,ref,ZC119-MPRA3-AP1120-26-LI_ref,AP1120_ref,Large_Intestine_ref,Allele
ZC119-MPRA3-AP1120-26-LI_ref_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,4,4_ref,ref,ZC119-MPRA3-AP1120-26-LI_ref,AP1120_ref,Large_Intestine_ref,Allele
ZC119-MPRA3-AP1120-26-LI_ref_Barcode_5,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,5,5_ref,ref,ZC119-MPRA3-AP1120-26-LI_ref,AP1120_ref,Large_Intestine_ref,Allele
ZC119-MPRA3-AP1120-26-LI_alt1_Barcode_1,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,1,1alt1,lt1,ZC119-MPRA3-AP1120-26-LI_lt1,AP1120_lt1,Large_Intestine_lt1,Allele
ZC119-MPRA3-AP1120-26-LI_alt1_Barcode_2,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,2,2alt1,lt1,ZC119-MPRA3-AP1120-26-LI_lt1,AP1120_lt1,Large_Intestine_lt1,Allele
ZC119-MPRA3-AP1120-26-LI_alt1_Barcode_3,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,3,3alt1,lt1,ZC119-MPRA3-AP1120-26-LI_lt1,AP1120_lt1,Large_Intestine_lt1,Allele
ZC119-MPRA3-AP1120-26-LI_alt1_Barcode_4,Large_Intestine,AAV-PHP-EB,,AP1120,F,ZC119-MPRA3-AP1120-26-LI,Gut,Gut,0,1,4,4alt1,lt1,ZC119-MPRA3-AP1120-26-LI_lt1,AP1120_lt1,Large_Intestine_lt1,Allele
